OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
542fd53e35f2df4824e53684151a3d33,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__67-14,
817aac9aecfb6b8e9700dfb25d735e0a,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__67-14,s__Solirubrobacterales_bacterium
fe8c8a9a5a0157c514051708618ce535,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__67-14,s__Solirubrobacterales_bacterium
28e59cbe5ecb8c236b729f516f1edcbf,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__67-14,s__metagenome
34db7453e20dd3c340542b97cec8b306,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__67-14,
107b79b5bd9747ba7d17986b1721ebe5,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__67-14,s__metagenome
a8529ebb479dc6005d616591b348fd03,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__67-14,s__uncultured_bacterium
63548482f9bebe7d5d8fe7e94949711b,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__67-14,
679fb6b5d3daefd79abd522748bd2577,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__67-14,s__uncultured_bacterium
cf1b9b4f550d4c80c332e28cf1fc7e66,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__67-14,s__uncultured_actinobacterium
a91902623f879658f15d10aacf78a757,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__67-14,
619fc924224e573cdf9d4bb93b297fd5,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__A4b,s__uncultured_Chloroflexi
978d7ad5ade15eed55c10f0c5c19419c,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__A4b,s__uncultured_Chloroflexi
